College Name,Email Domain
Rishihood University,@nst.rishihood.edu.in
Indian Institute of Technology Delhi,@iitd.ac.in
Indian Institute of Technology Bombay,@iitb.ac.in
Indian Institute of Technology Kanpur,@iitk.ac.in
Indian Institute of Technology Madras,@iitm.ac.in
National Institute of Technology Trichy,@nitt.edu
Birla Institute of Technology and Science Pilani,@pilani.bits-pilani.ac.in
Delhi University,@du.ac.in
University of Mumbai,@mu.ac.in
Anna University,@annauniv.edu
Amity University,@amity.edu
Christ University,@christuniversity.in
SRM Institute of Science and Technology,@srmist.edu.in
Lovely Professional University,@lpu.in
Vellore Institute of Technology,@vit.ac.in
Manipal University,@manipal.edu
